index;CD_MUNICIPIO_IBGE;Município;UF;Turno;Nome candidato;Partido;Cargo;Votos válidos;Votos nominais;ano;renda_pc;prop_ocupados_agropecuaria;prop_ocupados_comercio;prop_ocupados_construcao;prop_ocupados_servicos;prop_ocupados_transformacao;idhm;idhm_r
66802;2932408;UIBAÍ;BA;1;JOSE MARIA EYMAEL;DC;Presidente;9349;0;2010.0;286.67;49.06;8.65;3.94;30.05;4.49;0.617;0.575
66803;2932408;UIBAÍ;BA;1;LEONARDO PÉRICLES VIEIRA ROQUE;UP;Presidente;9349;0;2010.0;286.67;49.06;8.65;3.94;30.05;4.49;0.617;0.575
66804;5003454;DEODÁPOLIS;MS;1;JOSE MARIA EYMAEL;DC;Presidente;7845;0;2010.0;596.5;30.36;14.89;6.86;34.2;13.13;0.694;0.693
66805;5003454;DEODÁPOLIS;MS;1;VERA LUCIA PEREIRA DA SILVA SALGADO;PSTU;Presidente;7845;0;2010.0;596.5;30.36;14.89;6.86;34.2;13.13;0.694;0.693
66806;5003488;DOIS IRMÃOS DO BURITI;MS;1;JOSE MARIA EYMAEL;DC;Presidente;6203;0;2010.0;429.18;36.05;10.63;5.87;35.48;4.09;0.639;0.64
66807;4209177;JUPIÁ;SC;1;LEONARDO PÉRICLES VIEIRA ROQUE;UP;Presidente;1843;0;2010.0;654.0;56.55;5.79;3.34;21.0;11.19;0.719;0.708
66808;4209177;JUPIÁ;SC;1;SOFIA PADUA MANZANO;PCB;Presidente;1843;0;2010.0;654.0;56.55;5.79;3.34;21.0;11.19;0.719;0.708
66809;4209177;JUPIÁ;SC;1;VERA LUCIA PEREIRA DA SILVA SALGADO;PSTU;Presidente;1843;0;2010.0;654.0;56.55;5.79;3.34;21.0;11.19;0.719;0.708
66810;3529500;MENDONÇA;SP;1;LEONARDO PÉRICLES VIEIRA ROQUE;UP;Presidente;3744;0;2010.0;707.36;18.91;11.08;5.23;28.02;30.98;0.744;0.72
66811;3529500;MENDONÇA;SP;1;SOFIA PADUA MANZANO;PCB;Presidente;3744;0;2010.0;707.36;18.91;11.08;5.23;28.02;30.98;0.744;0.72
66812;2501302;AROEIRAS;PB;1;VERA LUCIA PEREIRA DA SILVA SALGADO;PSTU;Presidente;12059;0;2010.0;226.05;57.99;8.69;3.91;26.26;1.95;0.548;0.537
66813;3529500;MENDONÇA;SP;1;VERA LUCIA PEREIRA DA SILVA SALGADO;PSTU;Presidente;3744;0;2010.0;707.36;18.91;11.08;5.23;28.02;30.98;0.744;0.72
66814;3529609;MERIDIANO;SP;1;LEONARDO PÉRICLES VIEIRA ROQUE;UP;Presidente;2820;0;2010.0;694.38;19.81;5.26;7.52;38.24;23.41;0.731;0.717
66815;3529609;MERIDIANO;SP;1;SOFIA PADUA MANZANO;PCB;Presidente;2820;0;2010.0;694.38;19.81;5.26;7.52;38.24;23.41;0.731;0.717
66816;3529658;MESÓPOLIS;SP;1;JOSE MARIA EYMAEL;DC;Presidente;1347;0;2010.0;530.46;49.31;5.51;5.06;33.09;4.35;0.724;0.674
66817;3529658;MESÓPOLIS;SP;1;KELMON LUIS DA SILVA SOUZA;PTB;Presidente;1347;0;2010.0;530.46;49.31;5.51;5.06;33.09;4.35;0.724;0.674
66818;3147303;PARAISÓPOLIS;MG;1;JOSE MARIA EYMAEL;DC;Presidente;12162;0;2010.0;592.61;13.31;13.45;6.98;32.09;26.42;0.729;0.692
66819;2204808;IPIRANGA DO PIAUÍ;PI;1;SOFIA PADUA MANZANO;PCB;Presidente;5830;0;2010.0;261.12;50.02;9.75;5.96;26.94;4.92;0.63;0.56
66820;2204907;ISAÍAS COELHO;PI;1;JOSE MARIA EYMAEL;DC;Presidente;4862;0;2010.0;397.98;48.66;6.98;6.72;27.3;1.96;0.582;0.628
66821;2204907;ISAÍAS COELHO;PI;1;LEONARDO PÉRICLES VIEIRA ROQUE;UP;Presidente;4862;0;2010.0;397.98;48.66;6.98;6.72;27.3;1.96;0.582;0.628
66822;5003504;DOURADINA;MS;1;LEONARDO PÉRICLES VIEIRA ROQUE;UP;Presidente;3984;0;2010.0;648.98;30.14;9.67;6.9;38.26;12.74;0.699;0.706
